Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Nov 06, 2025",iPhone 15,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,,2641,6615,/v6/cpu/14887487,v6
"Nov 06, 2025",Xiaomi Poco X6 Pro,ARM ARMv8 2200 MHz (8 cores),2200.0,8,Android,,1169,3993,/v6/cpu/14887486,v6
"Nov 06, 2025",ASUS ROG Phone 3,ARM Qualcomm 1804 MHz (8 cores),1804.0,8,Android,,1253,2943,/v6/cpu/14887485,v6
"Nov 06, 2025",NVIDIA NVIDIA Jetson AGX Orin Developer Kit,ARM ARMv8 2201 MHz (1 cores),2201.0,1,Linux,,1002,6813,/v6/cpu/14887484,v6
"Nov 06, 2025",Xiaomi 25060RK16C,ARM ARMv8 2400 MHz (8 cores),2400.0,8,Android,,2533,7755,/v6/cpu/14887483,v6
"Nov 06, 2025",Samsung Galaxy S24 Ultra,ARM ARMv8 2265 MHz (8 cores),2265.0,8,Android,,2137,6587,/v6/cpu/14887482,v6
"Nov 06, 2025",Google Pixel 10 Pro XL,ARM ARMv8 2246 MHz (8 cores),2246.0,8,Android,,1919,4819,/v6/cpu/14887481,v6
"Nov 06, 2025",samsung SM-S936B,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,,2601,9255,/v6/cpu/14887480,v6
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7B84",AMD Ryzen 5 3600X 3801 MHz (6 cores),3801.0,6,Windows,,1611,6380,/v6/cpu/14887479,v6
"Nov 06, 2025",OPPO OPD2401,ARM ARMv8 2265 MHz (8 cores),2265.0,8,Android,,982,4613,/v6/cpu/14887478,v6
"Nov 06, 2025",N/A,Intel Xeon E3-1225 V2 3600 MHz (4 cores),3600.0,4,Linux,,705,2177,/v6/cpu/14887477,v6
"Nov 06, 2025",vivo V2419A,ARM ARMv8 2400 MHz (8 cores),2400.0,8,Android,,2590,7903,/v6/cpu/14887476,v6
"Nov 06, 2025",MediaTek DBX5SPN,ARM ARMv8 1390 MHz (4 cores),1390.0,4,Android,,229,584,/v6/cpu/14887475,v6
"Nov 06, 2025",iPhone 14,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,,2366,5934,/v6/cpu/14887474,v6
"Nov 06, 2025","iPhone18,2",ARM 4260 MHz (6 cores),4260.0,6,iOS,,3863,9970,/v6/cpu/14887473,v6
"Nov 06, 2025",OnePlus CPH2707,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,,1929,4428,/v6/cpu/14887472,v6
"Nov 06, 2025",B450M Steel Legend,AMD Ryzen 7 5800X 3801 MHz (8 cores),3801.0,8,Windows,,2253,10076,/v6/cpu/14887471,v6
"Nov 06, 2025",HONOR HEY-W09,ARM SM6225 1900 MHz (8 cores),1900.0,8,Android,,412,1415,/v6/cpu/14887470,v6
"Nov 06, 2025","VMware, Inc. VMware Virtual Platform",Intel Xeon Gold 6248R 2992 MHz (4 cores),2992.0,4,Linux,,1152,3775,/v6/cpu/14887469,v6
"Nov 06, 2025",Xiaomi Mi A3,Qualcomm Qualcomm 1804 MHz (8 cores),1804.0,8,Android,,329,792,/v6/cpu/14887468,v6
"Nov 06, 2025",samsung SM-S938B,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,,2933,9119,/v6/cpu/14887467,v6
"Nov 06, 2025",Nothing A059,ARM ARMv8 1804 MHz (8 cores),1804.0,8,Android,,1159,3253,/v6/cpu/14887466,v6
"Nov 06, 2025",Dell Inc. Latitude 9430,Intel Core i7-1265U 1800 MHz (10 cores),1800.0,10,Windows,,2135,9073,/v6/cpu/14887465,v6
"Nov 06, 2025",N/A,AMD EPYC 2550 MHz (4 cores),2550.0,4,Linux,,1702,5075,/v6/cpu/14887464,v6
"Nov 06, 2025",iPhone 15 Pro,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,,2948,6997,/v6/cpu/14887463,v6
"Nov 06, 2025",HP OMEN by HP Gaming Laptop 16-wf1xxx,Intel Core i7-14700HX 2100 MHz (20 cores),2100.0,20,Windows,,2696,16405,/v6/cpu/14887462,v6
"Nov 06, 2025",LENOVO 21MMS5R400,Intel Core Ultra 7 165U 1700 MHz (12 cores),1700.0,12,Windows,,2346,8105,/v6/cpu/14887461,v6
"Nov 06, 2025","VMware, Inc. VMware Virtual Platform",AMD EPYC 7H12 2600 MHz (4 cores),2600.0,4,Linux,,1299,4273,/v6/cpu/14887460,v6
"Nov 06, 2025","VMware, Inc. VMware Virtual Platform",Intel Xeon Gold 6354 2992 MHz (4 cores),2992.0,4,Linux,,1334,4471,/v6/cpu/14887459,v6
"Nov 06, 2025",QEMU KVM Virtual Machine,ARM ARMv8 0 MHz (4 cores),0.0,4,Linux,,1099,3643,/v6/cpu/14887458,v6
"Nov 06, 2025",QEMU KVM Virtual Machine,ARM ARMv8 0 MHz (4 cores),0.0,4,Linux,,1099,3643,/v6/cpu/14887458,v6
"Nov 06, 2025","VMware, Inc. VMware Virtual Platform",AMD EPYC 7H12 2600 MHz (4 cores),2600.0,4,Linux,,1288,4235,/v6/cpu/14887457,v6
"Nov 06, 2025",INFINIX Infinix X6870,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,,1023,3078,/v6/cpu/14887456,v6
"Nov 06, 2025",OnePlus PLQ110,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,,2980,8903,/v6/cpu/14887455,v6
"Nov 06, 2025",Xiaomi 24095PCADG,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,,1024,2859,/v6/cpu/14887454,v6
"Nov 06, 2025",N/A,AMD EPYC 2299 MHz (4 cores),2299.0,4,Linux,,953,2905,/v6/cpu/14887453,v6
"Nov 06, 2025","VMware, Inc. VMware Virtual Platform",Intel Xeon Gold 6354 2992 MHz (4 cores),2992.0,4,Linux,,1389,4570,/v6/cpu/14887452,v6
"Nov 06, 2025",N/A,AMD EPYC 2549 MHz (4 cores),2549.0,4,Linux,,1593,4531,/v6/cpu/14887451,v6
"Nov 06, 2025","VMware, Inc. VMware Virtual Platform",Intel Xeon Gold 6354 2992 MHz (4 cores),2992.0,4,Linux,,1414,4615,/v6/cpu/14887450,v6
"Nov 06, 2025","VMware, Inc. VMware Virtual Platform",Intel Xeon Gold 6354 2992 MHz (4 cores),2992.0,4,Linux,,1417,4689,/v6/cpu/14887449,v6
"Nov 06, 2025",iPhone 12 Pro Max,Apple A14 Bionic 2990 MHz (6 cores),2990.0,6,iOS,,2158,4795,/v6/cpu/14887448,v6
"Nov 06, 2025",Samsung Galaxy S21 5G,ARM ARMv8 2210 MHz (8 cores),2210.0,8,Android,,1100,3195,/v6/cpu/14887447,v6
"Nov 06, 2025",iPhone 15 Pro Max,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,,2868,7133,/v6/cpu/14887446,v6
"Nov 06, 2025",iPhone 16 Pro Max,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,,3403,8567,/v6/cpu/14887445,v6
"Nov 06, 2025",iPhone 14 Pro Max,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,,2678,7096,/v6/cpu/14887444,v6
"Nov 06, 2025",Xiaomi 25053PC47G,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,,2068,6579,/v6/cpu/14887443,v6
"Nov 06, 2025","QEMU Standard PC (i440FX + PIIX, 1996)",AMD EPYC 7742 2245 MHz (1 cores),2245.0,1,Linux,,485,246,/v6/cpu/14887442,v6
"Nov 06, 2025",N/A,AMD EPYC 2549 MHz (4 cores),2549.0,4,Linux,,1795,4785,/v6/cpu/14887441,v6
"Nov 06, 2025 gcouegnat",System manufacturer System Product Name,Intel Xeon E5-2630 2800 MHz (6 cores),2800.0,6,Linux,gcouegnat,520,2527,/v6/cpu/14887440,v6
"Nov 06, 2025",N/A,AMD EPYC 2549 MHz (4 cores),2549.0,4,Linux,,1652,5093,/v6/cpu/14887439,v6
"Nov 06, 2025",Google Pixel 8,ARM ARMv8 1704 MHz (9 cores),1704.0,9,Android,,949,3215,/v6/cpu/14887438,v6
"Nov 06, 2025 novot",Standard Hardware (novotgamehosting.com),AMD Ryzen 7 5825U 4546 MHz (8 cores),4546.0,8,Linux,novot,1784,8414,/v6/cpu/14887437,v6
"Nov 06, 2025",Samsung Galaxy Note20 Ultra,ARMv8 2002 MHz (8 cores),2002.0,8,Android,,675,2561,/v6/cpu/14887436,v6
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,,2810,8376,/v6/cpu/14887435,v6
"Nov 06, 2025",ASRock B760M-ITX/D4 WiFi,Intel Core i3-12100 3300 MHz (4 cores),3300.0,4,Windows,,2128,7195,/v6/cpu/14887434,v6
"Nov 06, 2025",Samsung Galaxy S22,ARM ARMv8 1785 MHz (8 cores),1785.0,8,Android,,964,2384,/v6/cpu/14887433,v6
"Nov 06, 2025",Xiaomi 25079RPDCC,ARM ARMv8 2400 MHz (8 cores),2400.0,8,Android,,2674,8289,/v6/cpu/14887432,v6
"Nov 06, 2025",N/A,AMD EPYC 2549 MHz (4 cores),2549.0,4,Linux,,1402,3597,/v6/cpu/14887431,v6
"Nov 06, 2025",OnePlus OPD2415,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,,3143,9687,/v6/cpu/14887430,v6
"Nov 06, 2025",HP HP ZBook Firefly 16 inch G10 Mobile Workstation PC,Intel Core i7-1365U 1800 MHz (10 cores),1800.0,10,Windows,,1581,6332,/v6/cpu/14887429,v6
"Nov 06, 2025",iPhone 16 Pro,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,,3574,8966,/v6/cpu/14887428,v6
"Nov 06, 2025",N/A,AMD EPYC 2546 MHz (4 cores),2546.0,4,Linux,,1440,4072,/v6/cpu/14887427,v6
"Nov 06, 2025",samsung SM-A566S,ARM ARMv8 1950 MHz (8 cores),1950.0,8,Android,,1371,3936,/v6/cpu/14887426,v6
"Nov 06, 2025",iPhone 16 Pro Max,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,,3466,8514,/v6/cpu/14887425,v6
