Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,API,Score Label,Compute Score,Result URL,Schema
"Nov 06, 2025",Xiaomi 22101316UG,ARM MT6877V/TTZA 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,2408,/v6/compute/5152150,v6-compute
"Nov 06, 2025",ASUS System Product Name,AMD Ryzen 9 9950X 4300 MHz (16 cores),4300.0,16,Windows,OpenCL,OpenCL Score,136623,/v6/compute/5152149,v6-compute
"Nov 06, 2025 gcouegnat",System manufacturer System Product Name,Intel Xeon E5-2630 2800 MHz (6 cores),2800.0,6,Linux,OpenCL,OpenCL Score,3993,/v6/compute/5152148,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7B84",AMD Ryzen 5 3600X 3801 MHz (6 cores),3801.0,6,Windows,OpenCL,OpenCL Score,113380,/v6/compute/5152147,v6-compute
"Nov 06, 2025",HP OMEN by HP Gaming Laptop 16-wf1xxx,Intel Core i7-14700HX 2100 MHz (20 cores),2100.0,20,Windows,OpenCL,OpenCL Score,123443,/v6/compute/5152146,v6-compute
"Nov 06, 2025",Xiaomi M2012K11G,ARM Haydn 1804 MHz (8 cores),1804.0,8,Android,Vulkan,Vulkan Score,5516,/v6/compute/5152145,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4254 MHz (6 cores),4254.0,6,iOS,Metal,Metal Score,45718,/v6/compute/5152144,v6-compute
"Nov 06, 2025",vivo V2405A,ARM ARMv8 2400 MHz (8 cores),2400.0,8,Android,OpenCL,OpenCL Score,22516,/v6/compute/5152143,v6-compute
"Nov 06, 2025",OnePlus OPD2415,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,18275,/v6/compute/5152142,v6-compute
"Nov 06, 2025",iPhone 14,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,21309,/v6/compute/5152141,v6-compute
"Nov 06, 2025","iPad Pro (12.9-inch, 6th generation)",Apple M2 3490 MHz (8 cores),3490.0,8,iOS,Metal,Metal Score,48118,/v6/compute/5152140,v6-compute
"Nov 06, 2025",motorola moto g - 2025,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,1450,/v6/compute/5152139,v6-compute
"Nov 06, 2025 neuromask",iPhone 11 Pro Max,Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,Metal,Metal Score,13895,/v6/compute/5152138,v6-compute
"Nov 06, 2025",iPhone 15 Plus,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,Metal,Metal Score,23584,/v6/compute/5152137,v6-compute
"Nov 06, 2025","iPad Pro (11-inch, 4th generation)",Apple M2 3490 MHz (8 cores),3490.0,8,iOS,Metal,Metal Score,48019,/v6/compute/5152136,v6-compute
"Nov 06, 2025",samsung SM-S938U1,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,20397,/v6/compute/5152135,v6-compute
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,27923,/v6/compute/5152134,v6-compute
"Nov 06, 2025",iPhone 16 Pro,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,33387,/v6/compute/5152133,v6-compute
"Nov 06, 2025",Mac Pro (Late 2019),Intel Xeon W-3245 3200 MHz (16 cores),3200.0,16,macOS,OpenCL,OpenCL Score,79364,/v6/compute/5152132,v6-compute
"Nov 06, 2025",Acer Predator PO3-630,Intel Core i7-11700F 2496 MHz (8 cores),2496.0,8,Windows,OpenCL,OpenCL Score,140201,/v6/compute/5152131,v6-compute
"Nov 06, 2025",motorola motorola razr 40 ultra,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,OpenCL,OpenCL Score,3588,/v6/compute/5152130,v6-compute
"Nov 06, 2025",ASUS All Series,Intel Core i5-4670K 3397 MHz (4 cores),3397.0,4,Windows,OpenCL,OpenCL Score,13578,/v6/compute/5152129,v6-compute
"Nov 06, 2025",ASUS System Product Name,Intel Core i5-14400F 2500 MHz (10 cores),2500.0,10,Windows,OpenCL,OpenCL Score,187746,/v6/compute/5152128,v6-compute
"Nov 06, 2025",iPhone 11 Pro Max,Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,Metal,Metal Score,13895,/v6/compute/5152127,v6-compute
"Nov 06, 2025",iMac (27-inch Retina Late 2015),Intel Core i5-6500 3200 MHz (4 cores),3200.0,4,macOS,OpenCL,OpenCL Score,18212,/v6/compute/5152126,v6-compute
"Nov 06, 2025",iPad Pro 11-inch (M4),Apple M4 4406 MHz (9 cores),4406.0,9,iOS,Metal,Metal Score,55744,/v6/compute/5152125,v6-compute
"Nov 06, 2025","MacBook Pro (14-inch, 2024)",Apple M4 4414 MHz (10 cores),4414.0,10,macOS,Metal,Metal Score,57119,/v6/compute/5152124,v6-compute
"Nov 06, 2025","iPhone18,1",ARM 4252 MHz (6 cores),4252.0,6,iOS,Metal,Metal Score,45197,/v6/compute/5152123,v6-compute
"Nov 06, 2025",OPPO CPH2729,ARM ARMv8 1804 MHz (8 cores),1804.0,8,Android,OpenCL,OpenCL Score,2921,/v6/compute/5152122,v6-compute
"Nov 06, 2025",N/A RX16,AMD Ryzen 7 7735HS 3201 MHz (8 cores),3201.0,8,Windows,OpenCL,OpenCL Score,29191,/v6/compute/5152121,v6-compute
"Nov 06, 2025","iPhone18,1",ARM 4252 MHz (6 cores),4252.0,6,iOS,Metal,Metal Score,45197,/v6/compute/5152120,v6-compute
"Nov 06, 2025",Motorola Moto G54,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,159,/v6/compute/5152119,v6-compute
"Nov 06, 2025","Macmini8,1",Intel Core i5-1340P 2200 MHz (12 cores),2200.0,12,macOS,Metal,Metal Score,181498,/v6/compute/5152118,v6-compute
"Nov 06, 2025",Mac Pro (Late 2019),Intel Xeon W-3245 3200 MHz (16 cores),3200.0,16,macOS,Metal,Metal Score,135647,/v6/compute/5152117,v6-compute
"Nov 06, 2025","Mac15,14",Apple M3 Ultra 4054 MHz (28 cores),4054.0,28,macOS,OpenCL,OpenCL Score,126205,/v6/compute/5152116,v6-compute
"Nov 06, 2025",LENOVO 83DV,Intel Core i5-13450HX 2400 MHz (10 cores),2400.0,10,Windows,OpenCL,OpenCL Score,3553,/v6/compute/5152115,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7B49",Intel Core i5-8600K 3599 MHz (6 cores),3599.0,6,Windows,OpenCL,OpenCL Score,106142,/v6/compute/5152114,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7B47",Intel Core i5-8600K 3600 MHz (6 cores),3600.0,6,Windows,OpenCL,OpenCL Score,95804,/v6/compute/5152113,v6-compute
"Nov 06, 2025",Google Pixel 6a,ARM ARMv8 1803 MHz (8 cores),1803.0,8,Android,OpenCL,OpenCL Score,6607,/v6/compute/5152112,v6-compute
"Nov 06, 2025",iPhone 14 Pro Max,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,Metal,Metal Score,23179,/v6/compute/5152111,v6-compute
"Nov 06, 2025",iPhone 11,Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,Metal,Metal Score,13875,/v6/compute/5152110,v6-compute
"Nov 06, 2025",System manufacturer System Product Name,AMD Ryzen Threadripper 3970X 4795 MHz (32 cores),4795.0,32,Linux,OpenCL,OpenCL Score,127762,/v6/compute/5152109,v6-compute
"Nov 06, 2025",samsung SM-E346B,ARM ARMv8 2002 MHz (8 cores),2002.0,8,Android,OpenCL,OpenCL Score,2301,/v6/compute/5152108,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7C37",AMD Ryzen 7 3700X 3600 MHz (8 cores),3600.0,8,Windows,OpenCL,OpenCL Score,32850,/v6/compute/5152107,v6-compute
"Nov 06, 2025","MacBookPro16,3",AMD Ryzen 9 5900HX 3300 MHz (8 cores),3300.0,8,macOS,OpenCL,OpenCL Score,10874,/v6/compute/5152106,v6-compute
"Nov 06, 2025","MacBook Pro (14-inch, 2024)",Apple M4 4414 MHz (10 cores),4414.0,10,macOS,OpenCL,OpenCL Score,38081,/v6/compute/5152105,v6-compute
"Nov 06, 2025",samsung SM-S936B,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,18438,/v6/compute/5152104,v6-compute
"Nov 06, 2025",iPhone 14,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,20342,/v6/compute/5152103,v6-compute
"Nov 06, 2025",iPad Air (5th generation),Apple M1 3190 MHz (8 cores),3190.0,8,iOS,Metal,Metal Score,33686,/v6/compute/5152102,v6-compute
"Nov 06, 2025 gcouegnat",System manufacturer System Product Name,AMD Ryzen Threadripper 3970X 3900 MHz (32 cores),3900.0,32,Linux,OpenCL,OpenCL Score,164711,/v6/compute/5152101,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop K6602VU_K6602VU,Intel Core i5-13500H 3192 MHz (12 cores),3192.0,12,Windows,OpenCL,OpenCL Score,62092,/v6/compute/5152100,v6-compute
