Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Oct 24, 2025",ASUS System Product Name,Intel Core Ultra 9 285K 3700 MHz (24 cores),3700.0,24,Windows,,12229,88162,/v6/cpu/14645176,v6
"Jul 23, 2025 CENS",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 4000 MHz (64 cores),4000.0,64,Windows,CENS,3644,37967,/v6/cpu/12989688,v6
"Aug 22, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 5651 MHz (64 cores),5651.0,64,Linux,,3552,37578,/v6/cpu/13446932,v6
"Sep 12, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3370,35399,/v6/cpu/13772311,v6
"Sep 11, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3425,35392,/v6/cpu/13753820,v6
"Sep 10, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3369,35358,/v6/cpu/13748097,v6
"Sep 12, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3381,35231,/v6/cpu/13772354,v6
"Dec 09, 2023",AEMv8A,ARM ARMv8 0 MHz (1 cores),0.0,1,Linux,,3048,35216,/v6/cpu/3909386,v6
"Sep 12, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3380,35177,/v6/cpu/13771679,v6
"Sep 10, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3385,35174,/v6/cpu/13746563,v6
"Sep 07, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3408,35163,/v6/cpu/13691282,v6
"Sep 10, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3404,35114,/v6/cpu/13748756,v6
"Sep 10, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3394,35058,/v6/cpu/13748143,v6
"Sep 12, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3416,35026,/v6/cpu/13770539,v6
"Sep 12, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3391,34999,/v6/cpu/13771628,v6
"Sep 11, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3422,34986,/v6/cpu/13752495,v6
"Sep 11, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3402,34768,/v6/cpu/13752113,v6
"Oct 29, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3389,34684,/v6/cpu/14724109,v6
"Oct 30, 2025",OEM Rack Server,AMD EPYC 9575F 5008 MHz (64 cores),5008.0,64,Linux,,3222,34601,/v6/cpu/14746772,v6
"Oct 29, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3049,34544,/v6/cpu/14724069,v6
"Oct 26, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3304,34487,/v6/cpu/14682887,v6
"Sep 03, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3417,34447,/v6/cpu/13637605,v6
"Sep 07, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3365,34408,/v6/cpu/13689042,v6
"Sep 07, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3385,34398,/v6/cpu/13689211,v6
"Sep 06, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3364,34357,/v6/cpu/13686770,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3509,34335,/v6/cpu/14541412,v6
"Oct 29, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3325,34327,/v6/cpu/14725159,v6
"Sep 07, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3377,34270,/v6/cpu/13688632,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3458,34264,/v6/cpu/14546128,v6
"Oct 29, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3317,34261,/v6/cpu/14725209,v6
"Sep 02, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3375,34249,/v6/cpu/13624431,v6
"Oct 20, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3493,34245,/v6/cpu/14554244,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3505,34232,/v6/cpu/14546306,v6
"Sep 06, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3363,34211,/v6/cpu/13684925,v6
"Oct 26, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3505,34208,/v6/cpu/14670776,v6
"Sep 06, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3391,34186,/v6/cpu/13686223,v6
"Sep 04, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3343,34168,/v6/cpu/13651782,v6
"Nov 03, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3488,34142,/v6/cpu/14819723,v6
"Sep 06, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3371,34129,/v6/cpu/13687514,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3489,34098,/v6/cpu/14536854,v6
"Oct 26, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3422,34095,/v6/cpu/14670280,v6
"Sep 03, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3370,34089,/v6/cpu/13639952,v6
"Oct 20, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3500,34086,/v6/cpu/14554000,v6
"Sep 03, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3382,34083,/v6/cpu/13635173,v6
"Oct 20, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3499,34076,/v6/cpu/14556150,v6
"Oct 26, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3502,34074,/v6/cpu/14672334,v6
"Oct 26, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3476,34068,/v6/cpu/14675319,v6
"Oct 17, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3500,34067,/v6/cpu/14504755,v6
"Sep 06, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3382,34041,/v6/cpu/13687247,v6
"Oct 29, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3333,34040,/v6/cpu/14723789,v6
"Nov 02, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3494,34019,/v6/cpu/14800081,v6
"Sep 20, 2023",ASUS System Product Name,Intel Core i7-13700K 3400 MHz (16 cores),3400.0,16,Windows,,0,33962,/v6/cpu/2679823,v6
"Sep 03, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3408,33931,/v6/cpu/13635524,v6
"Sep 20, 2023",ASUS System Product Name,Intel Core i7-13700K 3400 MHz (16 cores),3400.0,16,Windows,,0,33926,/v6/cpu/2679731,v6
"Oct 20, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3517,33915,/v6/cpu/14553869,v6
"Oct 27, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3504,33893,/v6/cpu/14687809,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3511,33893,/v6/cpu/14543982,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3515,33892,/v6/cpu/14537413,v6
"Oct 23, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3513,33875,/v6/cpu/14610284,v6
"Oct 14, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3486,33858,/v6/cpu/14441871,v6
"Oct 22, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3432,33853,/v6/cpu/14594004,v6
"Oct 21, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3475,33853,/v6/cpu/14580430,v6
"Oct 14, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3455,33852,/v6/cpu/14441385,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3496,33843,/v6/cpu/14540998,v6
"Oct 26, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3489,33835,/v6/cpu/14675265,v6
"Oct 20, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3501,33822,/v6/cpu/14554845,v6
"Oct 14, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3484,33820,/v6/cpu/14441951,v6
"Nov 04, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3464,33818,/v6/cpu/14836642,v6
"Sep 02, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3334,33815,/v6/cpu/13623982,v6
"Nov 03, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3486,33806,/v6/cpu/14820080,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3502,33803,/v6/cpu/14540838,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3495,33800,/v6/cpu/14537123,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3498,33786,/v6/cpu/14540742,v6
"Oct 11, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3510,33754,/v6/cpu/14388486,v6
"Sep 03, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3362,33726,/v6/cpu/13640134,v6
"Oct 15, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3457,33719,/v6/cpu/14460355,v6
"Oct 21, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3489,33708,/v6/cpu/14572192,v6
"Oct 27, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3505,33698,/v6/cpu/14687735,v6
