Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Oct 24, 2025",ASUS System Product Name,Intel Core Ultra 9 285K 3700 MHz (24 cores),3700.0,24,Windows,,12229,88162,/v6/cpu/14645176,v6
"Aug 05, 2025",ASUS System Product Name,Intel Core i7-12700 4800 MHz (12 cores),4800.0,12,Linux,,6705,6705,/v6/cpu/13178923,v6
"Aug 05, 2025",ASUS System Product Name,Intel Core i7-12700 4800 MHz (12 cores),4800.0,12,Linux,,6705,6705,/v6/cpu/13178914,v6
"Jul 31, 2025",ASUS System Product Name,Intel Core i7-12700 4800 MHz (12 cores),4800.0,12,Linux,,6705,6705,/v6/cpu/13108419,v6
"Apr 23, 2025",ASUS System Product Name,Intel Core i7-12700 4800 MHz (12 cores),4800.0,12,Linux,,6705,6705,/v6/cpu/11645980,v6
"Sep 01, 2025",ASUS System Product Name,Intel Core i7-12700 4800 MHz (12 cores),4800.0,12,Linux,,6518,6518,/v6/cpu/13597114,v6
"Oct 02, 2025",innotek GmbH Synoden,Intel Core i5-12600 0 MHz (2 cores),0.0,2,Linux,,6164,3392,/v6/cpu/14206316,v6
"Oct 09, 2025",ASUS System Product Name,Intel Core i7-12700K 4900 MHz (12 cores),4900.0,12,Linux,,5961,5961,/v6/cpu/14351090,v6
"Oct 09, 2025",ASUS System Product Name,Intel Core i7-12700K 4900 MHz (12 cores),4900.0,12,Linux,,5961,5961,/v6/cpu/14350989,v6
"Sep 13, 2025",ASUS System Product Name,Intel Core i7-12700 4800 MHz (12 cores),4800.0,12,Linux,,5697,5697,/v6/cpu/13786175,v6
"Sep 13, 2025",ASUS System Product Name,Intel Core i7-12700 4800 MHz (12 cores),4800.0,12,Linux,,5484,5484,/v6/cpu/13786347,v6
"Apr 27, 2025",ASUS System Product Name,Intel Core i7-12700 4800 MHz (12 cores),4800.0,12,Linux,,4703,4703,/v6/cpu/11703950,v6
"Apr 02, 2024 splave",ASRock Z790I Lightning WiFi,Intel Core i9-14900KS 3224 MHz (5 cores),3224.0,5,Windows,splave,4580,0,/v6/cpu/5568973,v6
"Apr 06, 2025","Micro-Star International Co., Ltd. MS-7D29",Intel Core i9-12900 2400 MHz (16 cores),2400.0,16,Windows,,4548,24689,/v6/cpu/11395167,v6
